Date,Close,High,Low,Open,Volume
2020-01-02,72.62084197998047,72.68128882574726,71.37321819790198,71.62709199861638,135480400
2020-01-03,71.9148178100586,72.67644657227763,71.68995732022762,71.84711763961168,146322800
2020-01-06,72.48786163330078,72.52654850385467,70.78326336625187,71.03472433546915,118387200
2020-01-07,72.14694213867188,72.75382346407903,71.92691473047077,72.49752942348555,108872000
2020-01-08,73.30751037597656,73.60974457641883,71.8495328881936,71.8495328881936,132079200
2020-01-09,74.86463165283203,75.058058615668,74.0353026659935,74.28675624192712,170108400
2020-01-10,75.03387451171875,75.59966347515947,74.53096000715122,75.09916182683553,140644800
2020-01-13,76.63692474365234,76.66352519200935,75.23214067732687,75.35062150930146,121532000
2020-01-14,75.60206604003906,76.78440971103713,75.4787595103825,76.57405589932931,161954400
2020-01-15,75.27809143066406,76.28392794287467,74.84528990021097,75.4014053711113,121923600
2020-01-16,76.2210464477539,76.33227394816954,75.45941772509225,75.82209877195635,108829200
2020-01-17,77.06488800048828,77.06730085653118,76.16301849026416,76.4700857814728,137816400
2020-01-21,76.54261779785156,77.13499233659138,76.40479724710379,76.69252476374683,110843200
2020-01-22,76.81584167480469,77.36952937649916,76.72154106940934,77.02860833807343,101832400
2020-01-23,77.185791015625,77.26557760751265,76.32018802900329,76.86905012564355,104472000
2020-01-24,76.9633560180664,78.1771262566053,76.77234188289478,77.4324242211359,146537600
2020-01-27,74.70020294189453,75.38203764467593,73.71612668009978,74.96858335214901,161940000
2020-01-28,76.81342315673828,76.9850901077203,75.48359274307904,75.58272644118536,162234000
2020-01-29,78.42131042480469,79.26998640843951,77.70562191467835,78.44791087101221,216229200
2020-01-30,78.30765533447266,78.36084883811213,77.0697054811501,77.50250683445478,126743200
2020-01-31,74.83561706542969,78.01995284367814,74.54063615595594,77.59682491329659,199588400
2020-02-03,74.63008880615234,75.79791852993898,73.07297758859362,73.57589206005755,173788400
2020-02-04,77.09391021728516,77.2849243200521,75.83177975550196,76.23798079684781,136616400
2020-02-05,77.72254943847656,78.52286500581071,77.11808104147103,78.22304366333603,118826800
2020-02-06,78.63168334960938,78.63410358497025,77.43484006982592,77.99336840947814,105425600
2020-02-07,77.56285858154297,78.37961468469555,77.07086561575886,78.12998293153962,117684000
2020-02-10,77.93122863769531,77.93122863769531,76.0650521291358,76.14502805818842,109348800
2020-02-11,77.46105194091797,78.50078345731488,77.24292836168937,78.42807806299739,94323200
2020-02-12,79.30058288574219,79.30542744679461,77.91185062961374,77.91185062961374,113730400
2020-02-13,78.73589324951172,79.06308239609403,78.36750683488538,78.57108938477977,94747600
2020-02-14,78.75527954101562,79.00491129587996,78.24631951175783,78.70437836069574,80113600
2020-02-18,77.313232421875,77.49500334449696,76.24926307124777,76.43103399386973,152531200
2020-02-19,78.43293762207031,78.6631837418977,77.55559118024817,77.55559118024817,93984000
2020-02-20,77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000
2020-02-21,75.87116241455078,77.66464101568167,75.25314438056381,77.22111592621015,129554000
2020-02-24,72.26726531982422,73.7214326099496,70.09813688315359,72.04429714392029,222195200
2020-02-25,69.81940460205078,73.32152656752166,69.34680474475954,72.93859916229857,230673600
2020-02-26,70.927001953125,72.19455366055257,69.43648208910632,69.4437526290761,198054800
2020-02-27,66.29064178466797,69.31531263503878,66.154920085896,68.12774407264509,320605600
2020-02-28,66.2518539428711,67.4757824380709,62.134139530313654,62.34984454807426,426510000
2020-03-02,72.41993713378906,73.0573481636442,67.30854119181632,68.4137074821739,341397200
2020-03-03,70.11995697021484,73.67781826113942,69.26684065673096,73.59784230488941,319475600
2020-03-04,73.37242126464844,73.53238053099778,71.04333387511636,71.8455487891952,219178400
2020-03-05,70.99244689941406,72.59929546384136,70.62647911575432,71.62258011074542,187572800
2020-03-06,70.0496597290039,70.48348836275598,68.15924526304715,68.34586073075151,226176800
2020-03-09,64.50928497314453,67.3982263851532,63.740996701505956,63.92276760464713,286744800
2020-03-10,69.15533447265625,69.42193323548972,65.28482634158217,67.16797734192903,285290000
